,bbox,location,avg_sentiment,count
97,"[144.280124032, -38.3594261655, 144.359813536, -38.304366854]","Torquay - Jan Juc, Victoria",0.1099266022198353,5
98,"[144.290648992, -38.216796993, 144.44827904, -38.048004991]","Geelong, Victoria",-0.007737767216517007,68
99,"[144.375862656, -38.039768458, 144.43273072, -38.006655382]","Lara, Victoria",0.10315040650406504,3
100,"[144.43828144, -37.264479005, 144.472181408, -37.2310170005]","Kyneton, Victoria",0.16544117647058823,2
101,"[144.469013856, -38.290489745, 144.563692576, -38.2471050065]","Ocean Grove - Barwon Heads, Victoria",0.016443850267379677,4
102,"[144.512067968, -37.7201984405, 144.615603616, -37.635262147]","Melton, Victoria",0.010844612414351269,20
103,"[144.548984448, -38.1832902925, 144.591636896, -38.139118157]","Drysdale - Clifton Springs, Victoria",0.3619047619047619,2
104,"[144.593741856, -38.433859306, 145.512528832, -37.5112737225]","Melbourne, Victoria",-0.003246219503948657,2682
105,"[144.620459648, -38.127607642, 144.692729984, -38.107340004]","Portarlington, Victoria",0.043114973262032084,4
106,"[144.680455008, -37.6036542495, 144.760199008, -37.520261374]","Sunbury, Victoria",0.03642545771578028,5
107,"[144.688354208, -38.1502236885, 144.720214912, -38.1202700425]","Indented Head, Victoria",-0.038461538461538464,2
108,"[144.709581984, -36.172851022, 144.789946208, -36.100149759]","Echuca, Victoria",-0.014062499999999999,4
109,"[144.82076112, -34.5436655605, 144.858713088, -34.4942290095]","Hay, New South Wales",-0.09523809523809523,1
110,"[144.87554304, -38.4802999855, 144.905523904, -38.452326894]","Cape Schanck, Victoria",0.06976744186046512,1
111,"[144.910031264, -35.5767194355, 145.001185504, -35.506293025]","Deniliquin, New South Wales",0.1,1
112,"[144.91337292, -38.49959097, 145.03639392, -38.41340697]","Flinders, Victoria",0.07142857142857142,1
113,"[144.951435, -37.85552703, 144.98909712, -37.79944596]","Melbourne, Victoria",0.10916179337231968,3
114,"[144.95404576, -37.424477217, 145.02578592, -37.3751039915]","Wallan, Victoria",-0.006663185571541366,7
115,"[145.003674656, -38.4870809755, 145.033296832, -38.4640179135]","Flinders, Victoria",-0.1,1
116,"[145.039566816, -38.4358946205, 145.06579584, -38.413123544]","Shoreham, Victoria",0.23529411764705882,1
117,"[145.121358304, -37.047374993, 145.179763008, -37.0062459965]","Seymour, Victoria",0.02040816326530612,1
118,"[145.14538624, -36.802499595, 145.166219008, -36.773746007]","Nagambie, Victoria",-0.019943019943019936,5
119,"[145.16087584, -38.4737827315, 145.199582944, -38.456480366]","Ventnor, Victoria",0.21212121212121213,1
120,"[145.213522848, -36.459475999, 145.250328032, -36.425431004]","Tatura, Victoria",-0.2777777777777778,1
121,"[145.338536704, -36.45701376, 145.461960992, -36.3452964595]","Shepparton - Mooroopna, Victoria",0.022036822826296504,7
122,"[145.37487168, -38.0832627535, 145.437385536, -38.044253376]","Officer, Victoria",0.08617571215855023,7
123,"[145.40339392, -17.027825952, 145.449439008, -16.978046226]","Mareeba, Queensland",-0.023809523809523808,2
124,"[145.425252384, -36.1598492775, 145.435195456, -36.148572991]","Wunghnu, Victoria",0.17142857142857143,1
125,"[145.42811568, -36.1019402075, 145.46557296, -36.0776039385]","Numurkah, Victoria",0.056056964964902214,5
126,"[145.433933056, -38.091959363, 145.520447008, -38.049848072]","Pakenham, Victoria",-0.028757497901681108,9
127,"[145.454122496, -16.5416919985, 145.480272832, -16.4770790465]","Port Douglas - Craiglie, Queensland",0.01875,4
128,"[145.460960992, -17.293307316, 145.509336128, -17.2484885315]","Atherton, Queensland",-0.08823529411764706,1
129,"[145.48590496, -37.7810383545, 145.5024128, -37.769769542]","Seville East, Victoria",-0.00596275299392568,7
130,"[145.567059008, -38.6263857905, 145.610024992, -38.5783746645]","Wonthaggi, Victoria",0.0,1
131,"[145.574220768, -17.2761207235, 145.601408416, -17.245416255]","Yungaburra, Queensland",0.053273809523809515,7
132,"[145.650457088, -17.038658997, 145.783431648, -16.7223939305]","Cairns, Queensland",-0.026047435988693392,42
