sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
98.8,"Albion Park Rail",1,63.5,6924,18.2,3483,107031137,18.3,38.8,"New South Wales",3441
94.8,"Kiama",1,56.0,8467,15.8,4346,107031138,28.2,49.1,"New South Wales",4121
93.9,"Woonona - Bulli - Russell Vale",1,62.5,21150,21.1,10905,107041150,16.5,39.4,"New South Wales",10245
101.9,"Armidale Region - North",1,59.9,4572,20.0,2265,110011187,20.1,43.2,"New South Wales",2307
93.9,"Armidale Region - South",1,59.5,6077,18.8,3134,110011188,21.7,46.8,"New South Wales",2943
101.1,"Walcha",1,54.3,3232,17.5,1607,110011189,28.2,49.1,"New South Wales",1625
99.6,"Glen Innes",1,57.1,8871,17.0,4445,110021190,25.9,47.8,"New South Wales",4426
92.8,"Inverell",1,57.1,11869,21.2,6157,110021191,21.7,40.5,"New South Wales",5712
104.0,"Inverell Region - East",1,59.1,5275,18.6,2586,110021192,22.3,46.9,"New South Wales",2689
102.7,"Inverell Region - West",1,56.2,6198,19.0,3058,110021193,24.8,47.9,"New South Wales",3140
97.0,"Tenterfield",1,54.0,6594,15.8,3347,110021194,30.2,54.4,"New South Wales",3247
95.0,"Seaford (SA)",4,64.5,24528,20.2,12576,403041087,15.3,36.6,"South Australia",11952
107.0,"Kulin",5,59.8,4260,21.9,2058,509031247,18.2,43.6,"Western Australia",2202
99.5,"Kiama Downs - Minnamurra",1,60.7,6199,19.2,3107,107031139,20.2,43.4,"New South Wales",3092
97.6,"Kiama Hinterland - Gerringong",1,59.3,8579,17.1,4342,107031140,23.6,45.9,"New South Wales",4237
99.2,"Shellharbour - Flinders",1,65.0,19114,21.5,9593,107031141,13.5,37.3,"New South Wales",9521
93.5,"Shellharbour - Oak Flats",1,62.7,10437,18.2,5395,107031142,19.1,41.2,"New South Wales",5042
92.4,"Old Bar - Manning Point - Red Head",1,52.4,11353,17.0,5900,108051168,30.6,52.1,"New South Wales",5453
93.9,"Taree",1,57.0,20901,18.7,10781,108051169,24.3,44.4,"New South Wales",10120
96.4,"Warilla",1,60.2,21081,18.1,10734,107031143,21.7,41.8,"New South Wales",10347
98.1,"Balgownie - Fairy Meadow",1,64.8,22484,16.3,11349,107041144,18.9,38.7,"New South Wales",11135
94.4,"Corrimal - Tarrawanna - Bellambi",1,62.7,16059,18.3,8260,107041145,19.0,40.5,"New South Wales",7799
103.3,"Taree Region",1,55.2,12912,13.9,6350,108051170,30.9,55.2,"New South Wales",6562
93.1,"Wingham",1,56.8,5493,19.1,2845,108051171,24.1,46.1,"New South Wales",2648
94.5,"Albury - East",1,63.6,16797,22.2,8636,109011172,14.2,34.3,"New South Wales",8161
113.5,"Murray",5,63.7,2528,19.2,1184,509031248,17.0,43.4,"Western Australia",1344
100.7,"Figtree - Keiraville",1,65.3,22499,18.2,11212,107041146,16.4,36.0,"New South Wales",11287
102.3,"Helensburgh",1,67.1,9289,21.1,4592,107041147,11.8,38.0,"New South Wales",4697
96.3,"Thirroul - Austinmer - Coalcliff",1,62.5,12071,20.5,6150,107041148,17.0,42.3,"New South Wales",5921
