median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1192,48,1300,"24900",250,0.7,1505,2.3,629
1901,38,2383,"24970",436,0.8,2223,2.7,754
2011,39,2188,"25060",386,0.9,2625,2.4,954
1785,39,1733,"25150",330,0.8,2127,2.6,802
1943,35,2034,"25250",400,0.9,2403,2.4,921
1555,48,1989,"25340",380,0.7,2054,2.4,761
1252,51,1432,"25430",300,0.7,1702,2.2,674
1530,45,1452,"25490",250,0.7,1916,2.5,767
1287,50,1517,"25620",270,0.7,1713,2.3,673
2476,42,2200,"25710",440,0.8,2772,2.9,962
1124,49,975,"25810",200,0.7,1496,2.2,653
2069,38,2169,"25900",420,0.9,3052,1.9,1289
1101,50,1083,"25990",210,0.7,1419,2.2,579
1509,62,2025,"26080",370,0.6,1960,2.0,834
1266,49,1408,"26170",260,0.7,1651,2.3,655
1261,47,1083,"26260",220,0.7,1684,2.2,699
2210,37,2500,"26350",421,0.9,3299,2.1,1294
1188,53,1300,"26430",260,0.7,1580,2.2,653
2088,42,2145,"26490",461,0.8,2441,2.6,941
1379,39,1157,"26610",225,0.8,1721,2.5,715
1282,52,1200,"26670",210,0.7,1658,2.2,689
1326,45,1350,"26700",260,0.7,1771,2.3,727
1420,42,1430,"26730",295,0.7,1891,2.3,759
1272,44,1300,"26810",260,0.7,1661,2.3,658
1207,51,739,"26890",140,0.7,1651,2.2,702
1841,39,2231,"26980",411,0.8,2300,2.6,778
1768,35,1900,"27070",371,0.8,1970,2.9,737
1498,38,1479,"27170",290,0.7,1938,2.4,805
2023,32,1930,"27260",370,0.8,2129,3.1,839
2270,34,2321,"27350",451,1.0,3138,2.0,1324
1881,40,1950,"27450",380,0.8,2203,2.7,808
1102,52,672,"27630",166,0.7,1491,2.1,625
1382,30,1300,"29399",385,1.0,1766,2.2,843
1069,29,0,"30250",125,1.2,785,3.9,331
1358,40,1169,"30300",200,0.8,1704,2.4,780
1766,38,1300,"30370",240,0.8,2138,2.5,856
1418,43,1083,"30410",163,0.7,1962,2.3,858
1875,38,2000,"30450",100,0.8,2374,2.3,991
1254,48,867,"30760",157,0.8,1557,2.3,729
1616,34,1733,"34590",350,0.8,1825,2.9,736
1561,40,1083,"34710",200,0.7,2094,2.3,938
1853,38,1733,"34770",340,0.8,2215,2.6,866
1733,36,550,"34800",130,0.8,2297,2.5,1074
1010,27,0,"34830",120,1.2,924,3.6,365
1588,38,1300,"34860",220,0.7,2042,2.5,875
1269,43,1517,"34880",275,0.9,1596,2.5,655
1648,39,1777,"35010",360,0.8,1957,2.6,761
855,29,0,"35250",104,1.2,624,3.5,285
2231,31,1536,"35300",270,0.9,2647,2.6,1155
1294,43,867,"35600",170,0.7,1766,2.2,798
788,27,0,"35670",121,1.3,924,3.7,342
1467,50,1900,"35740",470,0.8,1800,2.4,722
